support,itemsets
0.7858156028368795,frozenset({'chandler'})
0.7858156028368795,frozenset({'rachel'})
0.7858156028368795,frozenset({'ross'})
0.7645390070921986,frozenset({'joey'})
0.7617021276595745,frozenset({'monica'})
0.7276595744680852,frozenset({'phoebe'})
0.6801418439716312,"frozenset({'monica', 'chandler'})"
0.6695035460992907,"frozenset({'joey', 'chandler'})"
0.6631205673758865,"frozenset({'rachel', 'ross'})"
0.6617021276595745,"frozenset({'chandler', 'ross'})"
0.6432624113475177,"frozenset({'monica', 'rachel'})"
0.6425531914893617,"frozenset({'rachel', 'chandler'})"
0.6418439716312057,"frozenset({'joey', 'ross'})"
0.6361702127659574,"frozenset({'rachel', 'joey'})"
0.6340425531914894,"frozenset({'monica', 'ross'})"
0.6319148936170212,"frozenset({'monica', 'joey'})"
0.6304964539007092,"frozenset({'monica', 'phoebe'})"
0.6276595744680851,"frozenset({'chandler', 'phoebe'})"
0.6170212765957447,"frozenset({'rachel', 'phoebe'})"
0.6156028368794326,"frozenset({'joey', 'phoebe'})"
0.6134751773049646,"frozenset({'phoebe', 'ross'})"
0.5950354609929078,"frozenset({'monica', 'joey', 'chandler'})"
0.5872340425531914,"frozenset({'monica', 'chandler', 'ross'})"
0.5872340425531914,"frozenset({'joey', 'chandler', 'ross'})"
0.5815602836879432,"frozenset({'monica', 'rachel', 'chandler'})"
0.5787234042553191,"frozenset({'monica', 'chandler', 'phoebe'})"
0.5780141843971631,"frozenset({'rachel', 'chandler', 'ross'})"
0.5695035460992908,"frozenset({'rachel', 'joey', 'chandler'})"
0.5673758865248227,"frozenset({'monica', 'rachel', 'ross'})"
0.5652482269503546,"frozenset({'rachel', 'joey', 'ross'})"
0.5645390070921986,"frozenset({'joey', 'chandler', 'phoebe'})"
0.5581560283687943,"frozenset({'monica', 'joey', 'ross'})"
0.5574468085106383,"frozenset({'monica', 'rachel', 'joey'})"
0.5560283687943263,"frozenset({'monica', 'rachel', 'phoebe'})"
0.5553191489361702,"frozenset({'chandler', 'phoebe', 'ross'})"
0.5553191489361702,"frozenset({'monica', 'joey', 'phoebe'})"
0.5546099290780142,"frozenset({'monica', 'phoebe', 'ross'})"
0.549645390070922,"frozenset({'rachel', 'phoebe', 'ross'})"
0.5482269503546099,"frozenset({'rachel', 'chandler', 'phoebe'})"
0.5468085106382978,"frozenset({'joey', 'phoebe', 'ross'})"
0.5418439716312057,"frozenset({'rachel', 'joey', 'phoebe'})"
0.5333333333333333,"frozenset({'monica', 'joey', 'chandler', 'ross'})"
0.5297872340425532,"frozenset({'monica', 'rachel', 'chandler', 'ross'})"
0.5290780141843971,"frozenset({'monica', 'joey', 'chandler', 'phoebe'})"
0.5269503546099291,"frozenset({'monica', 'rachel', 'joey', 'chandler'})"
0.524822695035461,"frozenset({'rachel', 'joey', 'chandler', 'ross'})"
0.5219858156028369,"frozenset({'monica', 'chandler', 'phoebe', 'ross'})"
0.5198581560283688,"frozenset({'monica', 'rachel', 'chandler', 'phoebe'})"
0.5141843971631206,"frozenset({'joey', 'chandler', 'phoebe', 'ross'})"
0.5099290780141844,"frozenset({'monica', 'rachel', 'joey', 'ross'})"
0.5092198581560283,"frozenset({'monica', 'rachel', 'phoebe', 'ross'})"
0.5070921985815603,"frozenset({'monica', 'joey', 'phoebe', 'ross'})"
0.5063829787234042,"frozenset({'rachel', 'chandler', 'phoebe', 'ross'})"
0.5049645390070922,"frozenset({'rachel', 'joey', 'chandler', 'phoebe'})"
0.5035460992907801,"frozenset({'monica', 'rachel', 'joey', 'phoebe'})"
0.502127659574468,"frozenset({'rachel', 'joey', 'phoebe', 'ross'})"
0.48865248226950353,"frozenset({'rachel', 'joey', 'chandler', 'ross', 'monica'})"
0.4879432624113475,"frozenset({'joey', 'chandler', 'phoebe', 'ross', 'monica'})"
0.48439716312056735,"frozenset({'rachel', 'chandler', 'phoebe', 'ross', 'monica'})"
0.4836879432624113,"frozenset({'rachel', 'joey', 'chandler', 'phoebe', 'monica'})"
0.4765957446808511,"frozenset({'rachel', 'joey', 'chandler', 'phoebe', 'ross'})"
0.47375886524822697,"frozenset({'rachel', 'joey', 'phoebe', 'ross', 'monica'})"
0.4581560283687943,"frozenset({'rachel', 'joey', 'chandler', 'phoebe', 'ross', 'monica'})"
0.05815602836879433,frozenset({'mr'})
0.0524822695035461,"frozenset({'rachel', 'mr'})"
